"Par","Precio de Apertura","Precio Máximo","Precio Mínimo","Precio de Cierre","Volumen","Número de Operaciones","Variación Porcentual","Timestamp","Orden"
"BTCUSDT","119616.05000000","119663.26000000","119598.09000000","119601.25000000","7.94464000","1229","-0.01237292%","17-07-2025 20:30:00","1"
"BTCUSDT","119731.29000000","119879.35000000","119446.66000000","119616.05000000","240.51848000","33021","-0.09624886%","17-07-2025 20:15:00","2"
"BTCUSDT","119766.70000000","119879.35000000","119582.09000000","119731.30000000","155.97386000","28325","-0.02955746%","17-07-2025 20:00:00","3"
"BTCUSDT","120168.87000000","120337.52000000","119485.71000000","119766.71000000","232.95653000","36095","-0.33466238%","17-07-2025 19:45:00","4"
"BTCUSDT","120081.99000000","120269.70000000","120081.99000000","120168.87000000","103.13232000","16353","0.07235057%","17-07-2025 19:30:00","5"
"BTCUSDT","120435.55000000","120693.35000000","120050.00000000","120081.99000000","173.74281000","26258","-0.29356780%","17-07-2025 19:15:00","6"
"BTCUSDT","120272.19000000","120435.56000000","120109.90000000","120435.55000000","185.86705000","24549","0.13582525%","17-07-2025 19:00:00","7"
"BTCUSDT","120605.58000000","120761.09000000","120200.00000000","120272.19000000","207.42473000","28572","-0.27643000%","17-07-2025 18:45:00","8"
"BTCUSDT","120899.36000000","120915.75000000","120058.18000000","120605.57000000","335.65568000","67956","-0.24300377%","17-07-2025 18:30:00","9"
"BTCUSDT","120066.00000000","120998.71000000","120065.99000000","120899.36000000","762.18299000","76237","0.69408492%","17-07-2025 18:15:00","10"
"BTCUSDT","119436.86000000","120080.00000000","119431.93000000","120065.99000000","564.53010000","55053","0.52674694%","17-07-2025 18:00:00","11"
"BTCUSDT","119261.04000000","119436.87000000","119106.97000000","119436.86000000","81.30469000","15900","0.14742451%","17-07-2025 17:45:00","12"
"BTCUSDT","119039.46000000","119411.71000000","119039.45000000","119261.05000000","102.58868000","18533","0.18614836%","17-07-2025 17:30:00","13"
"BTCUSDT","118780.00000000","119142.75000000","118631.49000000","119039.46000000","175.65438000","32043","0.21843745%","17-07-2025 17:15:00","14"
"BTCUSDT","118959.66000000","119000.20000000","118383.97000000","118780.00000000","223.85179000","39505","-0.15102599%","17-07-2025 17:00:00","15"
"BTCUSDT","119512.42000000","119512.43000000","118821.06000000","118959.66000000","222.29870000","32429","-0.46251260%","17-07-2025 16:45:00","16"
"BTCUSDT","119656.09000000","119688.51000000","119466.22000000","119512.42000000","94.28133000","14645","-0.12006911%","17-07-2025 16:30:00","17"
"BTCUSDT","119807.02000000","119857.85000000","119645.43000000","119656.09000000","134.49875000","16201","-0.12597759%","17-07-2025 16:15:00","18"
"BTCUSDT","119580.00000000","119880.13000000","119580.00000000","119807.02000000","187.39972000","16132","0.18984780%","17-07-2025 16:00:00","19"
"BTCUSDT","119676.80000000","119700.00000000","119480.00000000","119580.00000000","101.64317000","15277","-0.08088452%","17-07-2025 15:45:00","20"
"BTCUSDT","119685.50000000","119780.67000000","119637.60000000","119676.79000000","149.59531000","17117","-0.00727741%","17-07-2025 15:30:00","21"
"BTCUSDT","119211.95000000","119735.67000000","119211.94000000","119685.50000000","308.07998000","29051","0.39723367%","17-07-2025 15:15:00","22"
"BTCUSDT","119261.51000000","119400.00000000","119211.94000000","119211.95000000","129.83338000","18175","-0.04155574%","17-07-2025 15:00:00","23"
"BTCUSDT","118656.18000000","119328.89000000","118601.48000000","119261.50000000","279.60929000","28063","0.51014621%","17-07-2025 14:45:00","24"
"BTCUSDT","118706.39000000","118772.90000000","118500.00000000","118656.18000000","72.74273000","14476","-0.04229764%","17-07-2025 14:30:00","25"
"BTCUSDT","118905.00000000","118920.00000000","118634.24000000","118706.40000000","87.24223000","14999","-0.16702409%","17-07-2025 14:15:00","26"
"BTCUSDT","118558.61000000","118947.55000000","118544.14000000","118904.99000000","116.02967000","18076","0.29215930%","17-07-2025 14:00:00","27"
"BTCUSDT","118453.41000000","118573.28000000","118380.32000000","118558.61000000","113.77414000","18199","0.08881129%","17-07-2025 13:45:00","28"
"BTCUSDT","118559.99000000","118610.00000000","118333.60000000","118453.41000000","194.69851000","29874","-0.08989542%","17-07-2025 13:30:00","29"
"BTCUSDT","118658.86000000","118759.62000000","118514.21000000","118559.99000000","143.43396000","27872","-0.08332290%","17-07-2025 13:15:00","30"
"BTCUSDT","118881.99000000","118954.66000000","118501.87000000","118658.85000000","98.77958000","21650","-0.18769874%","17-07-2025 13:00:00","31"
"BTCUSDT","119073.45000000","119073.46000000","118774.44000000","118881.99000000","152.69816000","22314","-0.16079151%","17-07-2025 12:45:00","32"
"BTCUSDT","118513.83000000","119073.46000000","118513.82000000","119073.45000000","173.73101000","24593","0.47219805%","17-07-2025 12:30:00","33"
"BTCUSDT","118440.76000000","118658.87000000","118334.34000000","118513.83000000","119.15497000","20631","0.06169329%","17-07-2025 12:15:00","34"
"BTCUSDT","118770.94000000","118879.00000000","118440.75000000","118440.76000000","146.91440000","28612","-0.27799729%","17-07-2025 12:00:00","35"
"BTCUSDT","118555.43000000","118804.83000000","118555.43000000","118770.94000000","95.41871000","18070","0.18177995%","17-07-2025 11:45:00","36"
"BTCUSDT","118693.09000000","118834.20000000","118500.00000000","118555.44000000","148.29434000","27003","-0.11597137%","17-07-2025 11:30:00","37"
"BTCUSDT","118467.98000000","118700.00000000","118300.00000000","118693.09000000","229.78002000","33863","0.19001759%","17-07-2025 11:15:00","38"
"BTCUSDT","118281.99000000","118490.71000000","118141.47000000","118467.97000000","221.79618000","35249","0.15723442%","17-07-2025 11:00:00","39"
"BTCUSDT","117640.23000000","118446.19000000","117520.60000000","118281.99000000","299.45755000","52889","0.54552767%","17-07-2025 10:45:00","40"
"BTCUSDT","117903.99000000","118029.70000000","117592.15000000","117640.23000000","243.67753000","51603","-0.22370744%","17-07-2025 10:30:00","41"
"BTCUSDT","117847.97000000","117922.92000000","117660.00000000","117904.00000000","145.18612000","22786","0.04754431%","17-07-2025 10:15:00","42"
"BTCUSDT","117867.08000000","118018.40000000","117722.58000000","117847.98000000","157.75095000","23265","-0.01620469%","17-07-2025 10:00:00","43"
"BTCUSDT","117978.00000000","118183.74000000","117867.07000000","117867.08000000","172.37791000","23479","-0.09401753%","17-07-2025 09:45:00","44"
"BTCUSDT","117472.17000000","117978.86000000","117453.57000000","117977.99000000","325.11976000","43348","0.43058709%","17-07-2025 09:30:00","45"
"BTCUSDT","117817.22000000","117854.12000000","117471.67000000","117472.17000000","322.03688000","25849","-0.29286890%","17-07-2025 09:15:00","46"
"BTCUSDT","117995.00000000","118092.00000000","117756.76000000","117817.21000000","222.40034000","25307","-0.15067588%","17-07-2025 09:00:00","47"
"BTCUSDT","118148.88000000","118159.50000000","117974.99000000","117995.00000000","162.70108000","16769","-0.13024245%","17-07-2025 08:45:00","48"
"BTCUSDT","118173.30000000","118213.66000000","118121.31000000","118148.87000000","104.28728000","13457","-0.02067303%","17-07-2025 08:30:00","49"
"BTCUSDT","118241.78000000","118296.86000000","118152.00000000","118173.29000000","93.85747000","16191","-0.05792369%","17-07-2025 08:15:00","50"
"BTCUSDT","118340.00000000","118398.82000000","118160.00000000","118241.78000000","127.48191000","20151","-0.08299814%","17-07-2025 08:00:00","51"
"BTCUSDT","118299.48000000","118458.76000000","118241.24000000","118340.01000000","105.65043000","16819","0.03426051%","17-07-2025 07:45:00","52"
"BTCUSDT","118563.30000000","118563.30000000","118299.47000000","118299.48000000","78.23668000","18838","-0.22251405%","17-07-2025 07:30:00","53"
"BTCUSDT","118632.94000000","118658.87000000","118530.00000000","118563.30000000","96.84484000","20318","-0.05870208%","17-07-2025 07:15:00","54"
"BTCUSDT","118769.34000000","118869.73000000","118559.04000000","118632.94000000","121.96499000","24624","-0.11484445%","17-07-2025 07:00:00","55"
"BTCUSDT","118989.04000000","119012.95000000","118769.34000000","118769.34000000","140.62177000","17830","-0.18463885%","17-07-2025 06:45:00","56"
"BTCUSDT","119135.92000000","119192.00000000","118882.00000000","118989.04000000","131.65594000","24725","-0.12328775%","17-07-2025 06:30:00","57"
"BTCUSDT","118557.65000000","119160.18000000","118473.37000000","119135.92000000","279.10863000","35546","0.48775427%","17-07-2025 06:15:00","58"
"BTCUSDT","118330.93000000","118612.19000000","118242.26000000","118557.64000000","182.62261000","21513","0.19158981%","17-07-2025 06:00:00","59"
"BTCUSDT","118392.68000000","118424.28000000","118231.99000000","118330.93000000","80.69891000","14554","-0.05215694%","17-07-2025 05:45:00","60"
"BTCUSDT","118263.00000000","118420.00000000","118129.13000000","118392.67000000","146.66468000","24255","0.10964545%","17-07-2025 05:30:00","61"
"BTCUSDT","118133.29000000","118268.28000000","118109.65000000","118262.99000000","76.17000000","18025","0.10979124%","17-07-2025 05:15:00","62"
"BTCUSDT","118311.75000000","118345.42000000","118082.99000000","118133.28000000","113.31594000","16402","-0.15084723%","17-07-2025 05:00:00","63"
"BTCUSDT","118548.46000000","118548.46000000","118300.00000000","118311.75000000","106.33457000","14739","-0.19967362%","17-07-2025 04:45:00","64"
"BTCUSDT","117932.73000000","118556.45000000","117932.73000000","118548.46000000","225.97326000","27785","0.52210273%","17-07-2025 04:30:00","65"
"BTCUSDT","118066.24000000","118113.44000000","117857.03000000","117932.73000000","157.52320000","19513","-0.11308059%","17-07-2025 04:15:00","66"
"BTCUSDT","118452.51000000","118452.51000000","117927.34000000","118066.24000000","243.74496000","32590","-0.32609693%","17-07-2025 04:00:00","67"
"BTCUSDT","118421.00000000","118455.49000000","118345.00000000","118452.51000000","68.59692000","13061","0.02660846%","17-07-2025 03:45:00","68"
"BTCUSDT","118660.66000000","118678.94000000","118358.46000000","118421.00000000","203.23666000","23609","-0.20197090%","17-07-2025 03:30:00","69"
"BTCUSDT","118500.00000000","118772.00000000","118341.55000000","118660.67000000","186.09340000","29136","0.13558650%","17-07-2025 03:15:00","70"
"BTCUSDT","118587.03000000","118751.37000000","118460.34000000","118500.00000000","134.99961000","15950","-0.07338914%","17-07-2025 03:00:00","71"
"BTCUSDT","118566.34000000","118643.59000000","118504.31000000","118587.03000000","87.02945000","11582","0.01745015%","17-07-2025 02:45:00","72"
"BTCUSDT","118407.03000000","118577.22000000","118225.54000000","118566.34000000","123.70039000","19324","0.13454438%","17-07-2025 02:30:00","73"
"BTCUSDT","118285.82000000","118407.05000000","118285.81000000","118407.03000000","87.97751000","14995","0.10247213%","17-07-2025 02:15:00","74"
"BTCUSDT","118485.39000000","118485.40000000","118258.18000000","118285.81000000","66.08844000","13784","-0.16844271%","17-07-2025 02:00:00","75"
"BTCUSDT","118368.84000000","118485.40000000","118321.75000000","118485.40000000","76.34941000","8835","0.09847186%","17-07-2025 01:45:00","76"
"BTCUSDT","118281.65000000","118450.00000000","118281.64000000","118368.84000000","102.49339000","12217","0.07371389%","17-07-2025 01:30:00","77"
"BTCUSDT","118266.56000000","118320.00000000","118194.44000000","118281.64000000","63.79159000","11746","0.01275086%","17-07-2025 01:15:00","78"
"BTCUSDT","118128.80000000","118291.43000000","117959.33000000","118266.55000000","146.70107000","15861","0.11661001%","17-07-2025 01:00:00","79"
"BTCUSDT","117890.00000000","118140.00000000","117889.99000000","118128.80000000","67.27722000","12441","0.20256171%","17-07-2025 00:45:00","80"
"BTCUSDT","117874.42000000","118038.91000000","117761.11000000","117889.99000000","156.79375000","28128","0.01320897%","17-07-2025 00:30:00","81"
"BTCUSDT","118000.00000000","118070.78000000","117850.00000000","117874.42000000","134.17195000","26391","-0.10642373%","17-07-2025 00:15:00","82"
"BTCUSDT","118330.58000000","118356.32000000","118000.00000000","118000.01000000","94.30354000","21547","-0.27936143%","17-07-2025 00:00:00","83"
"BTCUSDT","118324.00000000","118368.85000000","118050.00000000","118330.57000000","131.52122000","26126","0.00555255%","16-07-2025 23:45:00","84"
"BTCUSDT","118399.99000000","118466.20000000","118223.13000000","118324.00000000","141.28314000","15413","-0.06418075%","16-07-2025 23:30:00","85"
"BTCUSDT","118383.67000000","118523.25000000","118327.23000000","118399.99000000","109.35584000","18624","0.01378569%","16-07-2025 23:15:00","86"
"BTCUSDT","118149.71000000","118447.62000000","118017.06000000","118383.66000000","225.68379000","27904","0.19801149%","16-07-2025 23:00:00","87"
"BTCUSDT","118277.02000000","118277.02000000","117683.53000000","118149.70000000","381.40618000","54128","-0.10764559%","16-07-2025 22:45:00","88"
"BTCUSDT","118684.57000000","118716.64000000","118028.00000000","118277.02000000","257.74915000","45800","-0.34338920%","16-07-2025 22:30:00","89"
"BTCUSDT","119053.00000000","119053.00000000","118560.00000000","118684.56000000","128.39556000","27588","-0.30947561%","16-07-2025 22:15:00","90"
"BTCUSDT","118894.33000000","119082.88000000","118888.00000000","119052.99000000","86.78425000","18469","0.13344623%","16-07-2025 22:00:00","91"
"BTCUSDT","119135.08000000","119158.28000000","118881.80000000","118894.33000000","83.34843000","20119","-0.20208154%","16-07-2025 21:45:00","92"
"BTCUSDT","118863.02000000","119138.30000000","118823.26000000","119135.07000000","54.85656000","15409","0.22887690%","16-07-2025 21:30:00","93"
"BTCUSDT","118776.64000000","118970.18000000","118776.64000000","118863.01000000","74.14975000","17022","0.07271632%","16-07-2025 21:15:00","94"
"BTCUSDT","118630.44000000","118844.00000000","118620.83000000","118776.64000000","106.98170000","17969","0.12323987%","16-07-2025 21:00:00","95"
"BTCUSDT","118823.49000000","118823.50000000","118577.22000000","118630.43000000","58.50266000","9261","-0.16247629%","16-07-2025 20:45:00","96"
"BTCUSDT","118650.44000000","118823.50000000","118611.10000000","118823.50000000","62.07836000","11875","0.14585702%","16-07-2025 20:30:00","97"
"BTCUSDT","118585.36000000","118666.96000000","118420.00000000","118650.44000000","147.59182000","14591","0.05488030%","16-07-2025 20:15:00","98"
"BTCUSDT","118639.34000000","118667.57000000","118500.01000000","118585.37000000","75.75151000","12740","-0.04549081%","16-07-2025 20:00:00","99"
"BTCUSDT","119013.47000000","119013.48000000","118592.22000000","118639.34000000","167.91638000","19541","-0.31435937%","16-07-2025 19:45:00","100"
"BTCUSDT","119183.27000000","119247.49000000","118867.01000000","119013.47000000","203.33622000","22026","-0.14246966%","16-07-2025 19:30:00","101"
"BTCUSDT","119328.00000000","119500.00000000","119167.74000000","119183.28000000","357.73669000","27678","-0.12127916%","16-07-2025 19:15:00","102"
"BTCUSDT","119297.64000000","119442.35000000","119210.37000000","119328.00000000","164.97601000","19383","0.02544895%","16-07-2025 19:00:00","103"
"BTCUSDT","119391.03000000","119528.85000000","119200.00000000","119297.64000000","212.41422000","14146","-0.07822196%","16-07-2025 18:45:00","104"
"BTCUSDT","119940.78000000","119950.15000000","119386.41000000","119391.03000000","369.19678000","30799","-0.45835120%","16-07-2025 18:30:00","105"
"BTCUSDT","119901.16000000","119954.14000000","119724.00000000","119940.78000000","207.79965000","24176","0.03304388%","16-07-2025 18:15:00","106"
"BTCUSDT","119921.97000000","120063.84000000","119821.43000000","119901.16000000","304.85258000","32359","-0.01735295%","16-07-2025 18:00:00","107"
"BTCUSDT","119920.71000000","119933.89000000","119556.27000000","119921.96000000","119.84639000","17402","0.00104236%","16-07-2025 17:45:00","108"
"BTCUSDT","119597.79000000","119933.89000000","119500.00000000","119920.71000000","136.91064000","20166","0.27000499%","16-07-2025 17:30:00","109"
"BTCUSDT","119276.93000000","119597.79000000","119203.17000000","119597.79000000","184.43894000","19621","0.26900424%","16-07-2025 17:15:00","110"
"BTCUSDT","119230.16000000","119310.80000000","118943.91000000","119276.93000000","165.24800000","22910","0.03922665%","16-07-2025 17:00:00","111"
"BTCUSDT","118906.93000000","119320.00000000","118889.75000000","119230.16000000","125.81072000","22344","0.27183445%","16-07-2025 16:45:00","112"
"BTCUSDT","119182.83000000","119182.83000000","118822.72000000","118906.93000000","183.30895000","26001","-0.23149308%","16-07-2025 16:30:00","113"
"BTCUSDT","119213.78000000","119364.27000000","119138.00000000","119182.83000000","232.55788000","23405","-0.02596176%","16-07-2025 16:15:00","114"
"BTCUSDT","119512.20000000","119668.72000000","119153.40000000","119213.77000000","278.15081000","30691","-0.24970672%","16-07-2025 16:00:00","115"
"BTCUSDT","119710.07000000","119904.13000000","119450.03000000","119512.20000000","267.12839000","36581","-0.16529102%","16-07-2025 15:45:00","116"
"BTCUSDT","119175.16000000","119710.07000000","119175.16000000","119710.06000000","172.37594000","30278","0.44883514%","16-07-2025 15:30:00","117"
"BTCUSDT","119333.65000000","119390.27000000","119100.12000000","119175.16000000","97.88121000","19202","-0.13281250%","16-07-2025 15:15:00","118"
"BTCUSDT","119073.35000000","119500.00000000","118880.27000000","119333.65000000","193.87040000","33401","0.21860475%","16-07-2025 15:00:00","119"
"BTCUSDT","119305.15000000","119512.24000000","118963.96000000","119073.35000000","246.39232000","32650","-0.19429170%","16-07-2025 14:45:00","120"
"BTCUSDT","119635.88000000","119682.63000000","119252.92000000","119305.14000000","101.13462000","21343","-0.27645552%","16-07-2025 14:30:00","121"
"BTCUSDT","119207.60000000","119700.00000000","119202.42000000","119635.87000000","166.75279000","26903","0.35926401%","16-07-2025 14:15:00","122"
"BTCUSDT","119291.91000000","119409.99000000","119198.15000000","119207.60000000","140.66771000","20127","-0.07067537%","16-07-2025 14:00:00","123"
"BTCUSDT","119082.63000000","119305.65000000","118980.00000000","119291.91000000","130.35348000","19131","0.17574352%","16-07-2025 13:45:00","124"
"BTCUSDT","119175.66000000","119338.12000000","119011.61000000","119082.62000000","147.64107000","33568","-0.07806963%","16-07-2025 13:30:00","125"
"BTCUSDT","118776.38000000","119254.21000000","118749.71000000","119175.67000000","156.88049000","41148","0.33616953%","16-07-2025 13:15:00","126"
"BTCUSDT","119095.76000000","119117.15000000","118471.38000000","118776.37000000","236.42746000","65532","-0.26817915%","16-07-2025 13:00:00","127"
"BTCUSDT","119046.95000000","119436.87000000","118885.96000000","119095.76000000","470.99174000","86882","0.04100063%","16-07-2025 12:45:00","128"
"BTCUSDT","119498.28000000","119498.28000000","118328.48000000","119046.95000000","518.99415000","115937","-0.37768744%","16-07-2025 12:30:00","129"
"BTCUSDT","119160.91000000","119523.03000000","118729.40000000","119498.28000000","650.05981000","110611","0.28312137%","16-07-2025 12:15:00","130"
"BTCUSDT","119056.81000000","119794.80000000","118997.17000000","119160.90000000","593.59355000","82738","0.08742885%","16-07-2025 12:00:00","131"
"BTCUSDT","118632.72000000","119260.00000000","118620.00000000","119056.80000000","402.58927000","58634","0.35747305%","16-07-2025 11:45:00","132"
"BTCUSDT","118478.90000000","118640.00000000","118288.00000000","118632.71000000","286.65798000","48339","0.12982058%","16-07-2025 11:30:00","133"
"BTCUSDT","118289.12000000","118482.48000000","118200.00000000","118478.91000000","168.41568000","31236","0.16044586%","16-07-2025 11:15:00","134"
"BTCUSDT","118700.02000000","118783.88000000","118264.76000000","118289.12000000","281.70306000","53067","-0.34616675%","16-07-2025 11:00:00","135"
"BTCUSDT","118353.62000000","118746.00000000","118181.14000000","118700.01000000","307.21045000","45254","0.29267377%","16-07-2025 10:45:00","136"
"BTCUSDT","118799.00000000","118920.00000000","118242.05000000","118353.62000000","322.83578000","44386","-0.37490215%","16-07-2025 10:30:00","137"
"BTCUSDT","118679.86000000","118813.70000000","118679.85000000","118798.99000000","83.67290000","15757","0.10037929%","16-07-2025 10:15:00","138"
"BTCUSDT","118613.43000000","118740.00000000","118408.54000000","118679.86000000","214.03444000","30407","0.05600546%","16-07-2025 10:00:00","139"
"BTCUSDT","118965.17000000","119000.00000000","118613.43000000","118613.43000000","146.36787000","20819","-0.29566637%","16-07-2025 09:45:00","140"
"BTCUSDT","118891.41000000","119082.94000000","118580.36000000","118965.17000000","251.61117000","38336","0.06203981%","16-07-2025 09:30:00","141"
"BTCUSDT","118839.00000000","118899.00000000","118775.88000000","118891.42000000","84.10579000","10820","0.04411010%","16-07-2025 09:15:00","142"
"BTCUSDT","118769.06000000","118883.54000000","118700.00000000","118839.00000000","68.32278000","10554","0.05888739%","16-07-2025 09:00:00","143"
"BTCUSDT","118897.64000000","118906.17000000","118708.12000000","118769.06000000","87.79061000","9782","-0.10814344%","16-07-2025 08:45:00","144"
"BTCUSDT","118911.89000000","118912.36000000","118820.97000000","118897.64000000","103.07547000","10332","-0.01198366%","16-07-2025 08:30:00","145"
"BTCUSDT","118872.42000000","118911.90000000","118784.22000000","118911.89000000","89.23512000","10764","0.03320366%","16-07-2025 08:15:00","146"
"BTCUSDT","118736.24000000","118908.00000000","118650.00000000","118872.41000000","139.19871000","19215","0.11468276%","16-07-2025 08:00:00","147"
"BTCUSDT","118820.64000000","118923.65000000","118734.53000000","118736.25000000","113.04705000","13940","-0.07102301%","16-07-2025 07:45:00","148"
"BTCUSDT","119168.15000000","119186.76000000","118812.75000000","118820.64000000","174.08551000","20253","-0.29161315%","16-07-2025 07:30:00","149"
"BTCUSDT","119200.17000000","119310.75000000","119128.00000000","119168.14000000","173.54940000","18699","-0.02687077%","16-07-2025 07:15:00","150"
"BTCUSDT","119193.38000000","119272.00000000","119106.58000000","119200.17000000","153.72729000","14633","0.00569663%","16-07-2025 07:00:00","151"
"BTCUSDT","118826.65000000","119193.44000000","118720.73000000","119193.37000000","151.26829000","23638","0.30861764%","16-07-2025 06:45:00","152"
"BTCUSDT","119141.43000000","119189.19000000","118734.77000000","118826.66000000","262.47405000","30285","-0.26419861%","16-07-2025 06:30:00","153"
"BTCUSDT","118998.41000000","119200.00000000","118934.14000000","119141.43000000","148.30098000","20361","0.12018648%","16-07-2025 06:15:00","154"
"BTCUSDT","118700.00000000","119025.14000000","118693.71000000","118997.82000000","204.20595000","23095","0.25090143%","16-07-2025 06:00:00","155"
"BTCUSDT","118782.75000000","118782.76000000","118680.00000000","118699.99000000","165.79060000","12867","-0.06967342%","16-07-2025 05:45:00","156"
"BTCUSDT","118230.87000000","118794.64000000","118230.87000000","118782.75000000","322.95392000","32562","0.46678165%","16-07-2025 05:30:00","157"
"BTCUSDT","118169.65000000","118253.97000000","118141.26000000","118230.87000000","133.18757000","12396","0.05180687%","16-07-2025 05:15:00","158"
"BTCUSDT","118189.24000000","118259.11000000","118113.82000000","118169.65000000","236.48324000","16624","-0.01657511%","16-07-2025 05:00:00","159"
"BTCUSDT","118164.80000000","118213.87000000","118104.18000000","118189.25000000","178.30803000","12868","0.02069144%","16-07-2025 04:45:00","160"
"BTCUSDT","118245.92000000","118300.00000000","118164.80000000","118164.80000000","106.81745000","10441","-0.06860279%","16-07-2025 04:30:00","161"
"BTCUSDT","118075.49000000","118280.00000000","118046.19000000","118245.93000000","72.52268000","11159","0.14434833%","16-07-2025 04:15:00","162"
"BTCUSDT","118276.30000000","118289.91000000","118052.73000000","118075.49000000","108.86135000","15606","-0.16978042%","16-07-2025 04:00:00","163"
"BTCUSDT","118263.19000000","118282.71000000","118210.00000000","118276.30000000","89.38403000","10643","0.01108544%","16-07-2025 03:45:00","164"
"BTCUSDT","118059.99000000","118285.15000000","118000.00000000","118263.19000000","97.54170000","13744","0.17211589%","16-07-2025 03:30:00","165"
"BTCUSDT","117760.01000000","118086.11000000","117760.00000000","118060.00000000","88.27241000","16047","0.25474692%","16-07-2025 03:15:00","166"
"BTCUSDT","117869.82000000","117922.94000000","117760.00000000","117760.00000000","97.19830000","14285","-0.09317058%","16-07-2025 03:00:00","167"
"BTCUSDT","117963.60000000","117998.00000000","117774.86000000","117869.82000000","144.73190000","16133","-0.07949910%","16-07-2025 02:45:00","168"
"BTCUSDT","117847.48000000","118000.00000000","117840.45000000","117963.60000000","98.07017000","12603","0.09853414%","16-07-2025 02:30:00","169"
"BTCUSDT","117982.28000000","117982.28000000","117745.24000000","117847.48000000","107.71232000","11510","-0.11425445%","16-07-2025 02:15:00","170"
"BTCUSDT","117600.92000000","118000.00000000","117600.92000000","117982.28000000","129.29221000","22255","0.32428318%","16-07-2025 02:00:00","171"
"BTCUSDT","117561.74000000","117639.06000000","117512.42000000","117600.92000000","72.57929000","10196","0.03332717%","16-07-2025 01:45:00","172"
"BTCUSDT","117519.76000000","117700.70000000","117496.26000000","117561.74000000","103.05973000","15081","0.03572165%","16-07-2025 01:30:00","173"
"BTCUSDT","117275.64000000","117519.77000000","117275.64000000","117519.77000000","82.36960000","14711","0.20816770%","16-07-2025 01:15:00","174"
"BTCUSDT","117482.67000000","117493.73000000","117275.63000000","117275.63000000","77.00745000","14687","-0.17623025%","16-07-2025 01:00:00","175"
"BTCUSDT","117476.24000000","117508.77000000","117387.55000000","117482.67000000","82.34933000","12234","0.00547345%","16-07-2025 00:45:00","176"
"BTCUSDT","117370.58000000","117481.01000000","117364.80000000","117476.23000000","106.09007000","12700","0.09001404%","16-07-2025 00:30:00","177"
"BTCUSDT","117251.49000000","117519.49000000","117251.48000000","117370.58000000","113.56668000","15288","0.10156801%","16-07-2025 00:15:00","178"
"BTCUSDT","117317.27000000","117497.66000000","117211.25000000","117251.48000000","86.69174000","17022","-0.05607870%","16-07-2025 00:00:00","179"
"BTCUSDT","117107.94000000","117334.73000000","117107.94000000","117317.27000000","119.66057000","14083","0.17874962%","15-07-2025 23:45:00","180"
