"Par","Precio de Apertura","Precio Máximo","Precio Mínimo","Precio de Cierre","Volumen","Número de Operaciones","Variación Porcentual","Timestamp","Orden"
"BTCUSDT","119766.70000000","119879.35000000","119446.66000000","119600.46000000","397.10936000","61461","-0.13880319%","17-07-2025 20:00:00","1"
"BTCUSDT","120272.19000000","120693.35000000","119485.71000000","119766.71000000","695.69871000","103255","-0.42028003%","17-07-2025 19:00:00","2"
"BTCUSDT","119436.86000000","120998.71000000","119431.93000000","120272.19000000","1869.79350000","227818","0.69939046%","17-07-2025 18:00:00","3"
"BTCUSDT","118959.66000000","119436.87000000","118383.97000000","119436.86000000","583.39954000","105981","0.40114439%","17-07-2025 17:00:00","4"
"BTCUSDT","119580.00000000","119880.13000000","118821.06000000","118959.66000000","638.47850000","79407","-0.51876568%","17-07-2025 16:00:00","5"
"BTCUSDT","119261.51000000","119780.67000000","119211.94000000","119580.00000000","689.15184000","79620","0.26705179%","17-07-2025 15:00:00","6"
"BTCUSDT","118558.61000000","119328.89000000","118500.00000000","119261.50000000","555.62392000","75614","0.59286289%","17-07-2025 14:00:00","7"
"BTCUSDT","118881.99000000","118954.66000000","118333.60000000","118558.61000000","550.68619000","97595","-0.27201765%","17-07-2025 13:00:00","8"
"BTCUSDT","118770.94000000","119073.46000000","118334.34000000","118881.99000000","592.49854000","96150","0.09349930%","17-07-2025 12:00:00","9"
"BTCUSDT","118281.99000000","118834.20000000","118141.47000000","118770.94000000","695.28925000","114185","0.41337654%","17-07-2025 11:00:00","10"
"BTCUSDT","117867.08000000","118446.19000000","117520.60000000","118281.99000000","846.07215000","150543","0.35201517%","17-07-2025 10:00:00","11"
"BTCUSDT","117995.00000000","118183.74000000","117453.57000000","117867.08000000","1041.93489000","117983","-0.10841137%","17-07-2025 09:00:00","12"
"BTCUSDT","118340.00000000","118398.82000000","117974.99000000","117995.00000000","488.32774000","66568","-0.29153287%","17-07-2025 08:00:00","13"
"BTCUSDT","118769.34000000","118869.73000000","118241.24000000","118340.01000000","402.69694000","80599","-0.36148218%","17-07-2025 07:00:00","14"
"BTCUSDT","118330.93000000","119192.00000000","118242.26000000","118769.34000000","734.00895000","99614","0.37049485%","17-07-2025 06:00:00","15"
"BTCUSDT","118311.75000000","118424.28000000","118082.99000000","118330.93000000","416.84953000","73236","0.01621141%","17-07-2025 05:00:00","16"
"BTCUSDT","118452.51000000","118556.45000000","117857.03000000","118311.75000000","733.57599000","94627","-0.11883243%","17-07-2025 04:00:00","17"
"BTCUSDT","118587.03000000","118772.00000000","118341.55000000","118452.51000000","592.92659000","81756","-0.11343568%","17-07-2025 03:00:00","18"
"BTCUSDT","118485.39000000","118643.59000000","118225.54000000","118587.03000000","364.79579000","59685","0.08578273%","17-07-2025 02:00:00","19"
"BTCUSDT","118128.80000000","118485.40000000","117959.33000000","118485.40000000","389.33546000","48659","0.30187389%","17-07-2025 01:00:00","20"
"BTCUSDT","118330.58000000","118356.32000000","117761.11000000","118128.80000000","452.54646000","88507","-0.17052228%","17-07-2025 00:00:00","21"
"BTCUSDT","118149.71000000","118523.25000000","118017.06000000","118330.57000000","607.84399000","88067","0.15307697%","16-07-2025 23:00:00","22"
"BTCUSDT","118894.33000000","119082.88000000","117683.53000000","118149.70000000","854.33514000","145985","-0.62629564%","16-07-2025 22:00:00","23"
"BTCUSDT","118630.44000000","119158.28000000","118620.83000000","118894.33000000","319.33644000","70519","0.22244712%","16-07-2025 21:00:00","24"
"BTCUSDT","118639.34000000","118823.50000000","118420.00000000","118630.43000000","343.92435000","48467","-0.00751016%","16-07-2025 20:00:00","25"
"BTCUSDT","119297.64000000","119500.00000000","118592.22000000","118639.34000000","893.96530000","88628","-0.55181310%","16-07-2025 19:00:00","26"
"BTCUSDT","119921.97000000","120063.84000000","119200.00000000","119297.64000000","1094.26323000","101480","-0.52061353%","16-07-2025 18:00:00","27"
"BTCUSDT","119230.16000000","119933.89000000","118943.91000000","119921.96000000","606.44397000","80099","0.58022232%","16-07-2025 17:00:00","28"
"BTCUSDT","119512.20000000","119668.72000000","118822.72000000","119230.16000000","819.82836000","102441","-0.23599264%","16-07-2025 16:00:00","29"
"BTCUSDT","119073.35000000","119904.13000000","118880.27000000","119512.20000000","731.25594000","119462","0.36855434%","16-07-2025 15:00:00","30"
"BTCUSDT","119291.91000000","119700.00000000","118963.96000000","119073.35000000","654.94744000","101023","-0.18321444%","16-07-2025 14:00:00","31"
"BTCUSDT","119095.76000000","119338.12000000","118471.38000000","119291.91000000","671.30250000","159379","0.16469940%","16-07-2025 13:00:00","32"
"BTCUSDT","119056.81000000","119794.80000000","118328.48000000","119095.76000000","2233.63925000","396168","0.03271547%","16-07-2025 12:00:00","33"
"BTCUSDT","118700.02000000","119260.00000000","118200.00000000","119056.80000000","1139.36599000","191276","0.30057282%","16-07-2025 11:00:00","34"
"BTCUSDT","118613.43000000","118920.00000000","118181.14000000","118700.01000000","927.75357000","135804","0.07299342%","16-07-2025 10:00:00","35"
